Total: 120097632 samples
85163960  70.9%  70.9% 85163960  70.9% substr
13714328  11.4%  82.3% 16322880  13.6% Symfony\Component\ErrorHandler\DebugClassLoader::loadClass
   12200   0.0%  99.2%   120572   0.1% include /var/www/html/var/cache/dev/ContainerOAfV6Q6/App_KernelDevDebugContainer.php
   11672   0.0%  99.3%    17000   0.0% Symfony\Component\Stopwatch\StopwatchEvent::stop
   11600   0.0%  99.3%    11600   0.0% require /var/www/html/vendor/guzzlehttp/guzzle/src/functions_include.php
   10960   0.0%  99.3%  1019976   0.8% include /var/www/html/vendor/doctrine/dbal/src/Platforms/MySQL57Platform.php
   10960   0.0%  99.3%  1036436   0.9% include /var/www/html/vendor/doctrine/dbal/src/Platforms/MySQL80Platform.php
   10960   0.0%  99.3%  1008552   0.8% include /var/www/html/vendor/doctrine/dbal/src/Platforms/MySQLPlatform.php
    9376   0.0%  99.3%   270544   0.2% Doctrine\ORM\Mapping\ClassMetadataInfo::validateAndCompleteFieldMapping
    9360   0.0%  99.3%     9360   0.0% gzuncompress
    9336   0.0%  99.3%     9336   0.0% Symfony\Component\Cache\Adapter\PhpArrayAdapter::initialize
    9216   0.0%  99.3%     9472   0.0% Smalot\PdfParser\RawData\RawDataParser::decodeXref
    9208   0.0%  99.3%   117900   0.1% ContainerOAfV6Q6\App_KernelDevDebugContainer::createProxy
    9152   0.0%  99.3%     9152   0.0% Smalot\PdfParser\RawData\RawDataParser::getObjectHeaderPattern
    9056   0.0%  99.3%     9056   0.0% include_once /var/www/html/vendor/knplabs/knp-markdown-bundle/Parser/MarkdownParser.php
    8960   0.0%  99.4%    67136   0.1% Smalot\PdfParser\RawData\RawDataParser::getRawObject
    8916   0.0%  99.4%   407565   0.3% ContainerOAfV6Q6\getDebug_DumpListenerService::do
    8704   0.0%  99.4%     8704   0.0% DateTime::format
    8352   0.0%  99.4%     8352   0.0% pathinfo
    8136   0.0%  99.4%     8136   0.0% ZipArchive::statIndex
    8064   0.0%  99.4%   154388   0.1% include /var/www/html/vendor/doctrine/orm/lib/Doctrine/ORM/Query.php
    7992   0.0%  99.4%     9384   0.0% Doctrine\ORM\Mapping\ClassMetadataInfo::_validateAndCompleteOneToOneMapping
    7756   0.0%  99.4%   870376   0.7% ContainerOAfV6Q6\getTypesense_CollectionManagerService::do
    7632   0.0%  99.4%    46428   0.0% Kiwilan\Archive\Readers\BaseArchive::timestampToDateTime
    7560   0.0%  99.4%     7560   0.0% Kiwilan\Archive\Readers\BaseArchive::bytesToHuman
    7560   0.0%  99.4%   106192   0.1% Symfony\Bridge\Doctrine\Middleware\Debug\Statement::execute
    7088   0.0%  99.4%   341136   0.3% Symfony\Component\Config\Resource\ClassExistenceResource::isFresh
    7072   0.0%  99.4%     7072   0.0% Symfony\Component\Cache\Adapter\PhpFilesAdapter::getFile
    7072   0.0%  99.4% 120088039 100.0% include /var/www/html/bin/console
    6936   0.0%  99.4%     6936   0.0% Doctrine\ORM\Mapping\DefaultTypedFieldMapper::validateAndComplete
    6884   0.0%  99.4%     6884   0.0% ContainerOAfV6Q6\getDoctrine_Orm_DefaultListeners_AttachEntityListenersService::do
    6816   0.0%  99.5%   267504   0.2% include /var/www/html/vendor/symfony/string/UnicodeString.php
    6784   0.0%  99.5%     7032   0.0% Behat\Transliterator\Transliterator::utf8ToAscii
    6628   0.0%  99.5%     6636   0.0% ContainerOAfV6Q6\getConsole_CommandLoaderService::do
    6448   0.0%  99.5%   141308   0.1% include /var/www/html/vendor/symfony/string/AbstractUnicodeString.php
    6120   0.0%  99.5% 95171953  79.3% App\Service\BookManager::createBook
    5960   0.0%  99.5%    39716   0.0% include /var/www/html/vendor/doctrine/orm/lib/Doctrine/ORM/PersistentCollection.php
    5888   0.0%  99.5%    44188   0.0% include /var/www/html/vendor/symfony/console/Style/SymfonyStyle.php
    5696   0.0%  99.5%     6128   0.0% Doctrine\ORM\UnitOfWork::assignPostInsertId
    5672   0.0%  99.5%  1230208   1.0% require_once /var/www/html/vendor/autoload.php
    5576   0.0%  99.5%   303572   0.3% Doctrine\ORM\UnitOfWork::computeChangeSet
    5504   0.0%  99.5%    14480   0.0% Doctrine\ORM\UnitOfWork::createEntity
    5472   0.0%  99.5%   242712   0.2% include /var/www/html/vendor/doctrine/dbal/src/Schema/MySQLSchemaManager.php
    5448   0.0%  99.5%     5448   0.0% Closure::bind
    5440   0.0%  99.5%     5440   0.0% usort
    5424   0.0%  99.5%   131115   0.1% Symfony\Component\Finder\Finder::searchInDirectory
